compo	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022		
AlCHILiNOYb																							1						
CuRbSeTb																											1		
BBaCdCuOSrY		8																											
CeErOPYYb															1														
CClHOPSYb											1																		
CoMnNdOSm									1																				
BLiNdOTe															1														
AgLaMoOPr															5														
LuOScSi												8																	
BaOPRbTm										1																			
CCrFGaHoLiOSiYb																						1							
BiCaDyO																					1								
FeLiOY											1																		
GeOsTm																													
CClNSY																										1			
BaCuLaOOs																										1			
DyFTh		1																											
CoMnNdOSr				3		4		1		3												2				2	1		
BaCoSbSrYb															6		1												
CClFGdHNOSZn																													
ClCsOSmTe																				1									
BiCuEuLaOSr																													
NNaTeYb																													
DyNaOTeZn																										1			
AsCFHOSY																													
CDyFeNSi																													
CFHLuNOSi																										1			
AgGaLaOS																													
CFHLuOPS					2		1	1				1										1		1					
ErKNaNbOPr																				3									
BaEuNiO																													
AlEuLiOSr																								3					
CCuGeHLuNOW																								1					
BEuOZn																			1										
CuRbSeTm																											1		
BCoDy	5	1																1											
HoKOPWYYb																		1											
CGaHNSm														1				1											
CFHMoNOPSSc																						1							
FGdHOS																										1			
GdOYb																										1			
GeLaOS																									1				
CaEuFLiOP																					5								
CoNiOSmSr																		5									1		
FGdKNd																											1		
BaBiFORbSc																										1			
BiErKNaOTi																									3				
GeLaOW																3													
CCuFeHNOPr																				1	2				1				
CCuHIOY												3																	
AgBiNbOSc																											3		
BCCeHNOSi																													
CeLuSe												1																	
GeLaOY													2			1													
GdNiOSrTl					1																								
CeCuNbOPrSr	1	4	1																										
CFeHNNaNdO																													
CClCuHNOPr		1				1	1	2		2					1	1		2		3	1					1			
CHLaOPRb														1															
BaFeNbNdO															1							1	1	2					
CClCoHLaNNaO																											1		
CeLaSSi																							5						
CeLuSi									1																				
BOTbYYb																					13								
BaDyFLaNaOPTm																									10				
CDyHNaOSb			1																										
InNiSc	1								2	1	1														1				
CuEuSSb															1														
AlCePdU																													
BBaClErO																								4					
CuEuSSc																										1			
CoInLaSn																					2								
AlCeOSmY																										1			
BCClCrErHNO							1																						
BeFeGd			1																										
EuHKOSiW					1			3			1	1	1		1			2		1									
AlCePdY											7	7																	
CClHLiNNdPSi																													
CDyHNaOSi																													
BaInLaMgO																										1			
OPUY						1																							
AgMoNdO																													
CaCuHgNdOPbSr		2																											
FeHoMoOSr																							2						
InNiSm					1				2										2										
CGdHOSi				3				1	1						1	1											1		
LiOSY																													
CuEuSSm																	1												
CCuEuHIOS																					1			1					
CDyFeHNOZn																		1			1								
CuEuSSn								1																					
DyORe					1				1																				
AsDyFFeO													2																
AlFeGeHo																				1									
ErNaSSi										1																			
CGdHOSm																		1							1				
OSTm																													
BRhScZn			1			1																							
CGaHLa														1	2									1					
HoMoOYYb																							8						
CoFeY					6		10		3								1												
CHLaOPRu												2																	
CuFeOTiY					1																								
BaCaCuNiOY																													
PbSY													1																
EuHOPYb																1													
CClGdHNOPtS																			1	1									
CFFeHNNdO												1																	
CCuFHNOPPr																	1												
BCGdHNaO				1																									
BCeOSrY																										7			
CGdHOSr												1				1													
CCdErHNOS											1																		
BrCGdRb		1																											
CCeFHNSi																			3		3								
GeLaOs																													
BiCrNdS																									1				
BEuKO																											1		
CeMgNaOPSr																						7							
BaOPdSm																													
FeGaLaOY	1																		1										
LaLiOPPr																					5								
BHNaOPSc															1														
EuKOWYb					1																								
CuMgYZn													5	1															
BiErNbOSr																											1		
PbSc													1							1									
CeCuNdOPbSr																													
EuMoNaO															1						1	1			1				
CrFeLaLiMnO																							1						
GeLaRhRu																													
CGdNSc												2						13											
AgCClHNNaOTb																				1									
DyORu																			1										
BrCCeHNOReSe											1																		
CCaOSrY														4															
HNOSiY											2																		
CFHLuNaOS																			1										
EuHfMoOTl																													
LiOPScSnZr																													
CGaHLu														2										2					
BCClHNTb							1													1									
PbSm		13																			1								
FeLuOOs																											1		
AgCrLaMnO														4															
LuNbOSrTi																			2										
CaCoCuLaOS											1																		
CaLaMnORh																										1			
CeEuKOSr																2													
CuGdORuSrV					1																								
DyITh	3																												
CaNdOScTiZr																													
CClFFeHNOTb																										1			
BCHILiOSiYb						1																							
AlCGdH									1																				
ErHNaOSiY											2																		
CuYbZn			1																										
CEuHINOP					1																		2						
BaFOScSr																											1		
ORuYZn																				2									
CeFOSSbSe																								3					
BaCuNdOPSr		1																											
NaOSiTmYYb																										4			
BRuY										1																			
CCeHOPRu												2														1			
CrLaMnOSr	3			4	4	22	6	2	6	7	9	14	4			7				2	4	1					1		
CEuHINOS								1							1	1			1				1	1					
