	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
YE	7.5				0.5								8	4			6	2	10.5714	4	0.4	5.5		1.5	0.6	1	4.46429
GH														11	31				3	2	0.2		2	1.15		1.5	
LT					2			2.33333	10.3333	1.25	4.28571				2.13333			1.77692		7		1	2.36364	4.66667	10.1883	0.5	
KZ								0.375	1.33333		7	6			2	4		0.333333	6.90909		4.4	3.23333	0.333333	7.28571	1.77273	1	2.61364
ET										3				11.1333		2.5	1		10				0.25	2	4.75	3.21111	5.30952
SN						1.2		4	2							1	7.75	5.53333	0.5		5.43333	1.42857	2.83333	4.31818	0.766667	0.75	3.9
FJ									22				1		1.66667				8	5		2				1	
CM	3		0.5										3.83333	2.5				4	0.166667		3.46667	0.8	5.08333		2.81667	2.84524	11.2167
LY							2.26667		0.5			2.75	4.7					0.783333	2			2	4.8	1.71429	3.33333	7.23571	0.363636
PH								1.16667	0.2					0.880952	1.6	7.93333	2			2			4.75	1	3.51111		4
LK																		0.666667	1.15	0.25	0.4	3.33333	0.6	7.25	9.2381	2	2
BA							0.714286				1.25					1.66667		6			2	6.94286	2.5	1.8		3.86364	
RW																							4.5		15.6167	0.4	2.79167
PE			0.8		0.666667	3		4.83333		2.4					1.77778						4		0.538462	1.25	1		1
TZ		1.66667																0.428571		4.91667	0.333333	8	5.83333				0.0769231
MT																		1	2.33333	1	2	3	4	1		5.33333	0.75
EC																			1.625	3	1.5	7.16667	2.875	0.809524	1.90476	1.33333	
MK		1		13		0.75		3	0.666667																		0.0714286
BH	5		8.5															0.428571			0.166667	1		2		0.363636	0.440559
ME				1.5	0.333333	1.52381		0.333333	0.628571	0.8	1.13333	0.4							2	1	2.78571	0.666667	1.77778	0.833333	1.16667	0.222222	
SD										0.875					3		0.857143		4					1.33333		3.6	
BB		0.285714					2	1	4							5.5											
LU													0.2					1.2	6.36667			0.2	0.714286		2.5		
MR								1	0.5								1.6					0.285714		2.5	1.33333	3.42857	
SY																		1.5	3	2.5				0.428571	1.125	1.33333	0.666667
TJ										4					1.2			4.8									
BI															5.25	3		1									
NAM																						0.777778	0.25	2.66667	0.166667	1	2
GA				1.27273												0.9				3.75					0.25		
MZ							6																				
XK																	4.57143		0.3					0.166667	0.333333		
MN													0.285714	0.6		2.66667											
MG								1.8								1.0625										0.142857	0.125
KH																				3							
ZW										0.4									0.2					0.4	0.333333	1	
AL					1.75																0.571429						
DO																										2.125	
VI																					1.25	0.666667					
ML																					1				0.545455		
LI																							0.642857		0.0769231	0.790909	
PA																										1.04848	0.311111
GN																	0.5		0.285714	0.5							
