	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
NP																										9	0.466667
AE										0.666667	1									4			0.166667		2.63889		0.8
LU																		8								0.285714	
ET																								3.15	1.75		1.37143
KW							1						0.666667				1.4							1	2		
MU									6																		
QA																1.5				0.8			1.5				2
BH														2							1		0.333333	1.2			1
PH																1			2						1.11111		0.375
MR								1.66667	0.5								1.6					0.285714					
MT																						4					
MG								3.6																			
CM														0.714286											2.3		
IS								0.333333	1.66667									1									
KE											2.75																
TZ																			2								
PA																										0.866667	0.511111
GE											1.2																
AL									1																		
MO																											0.9375
MN																						0.571429	0.166667				
CR																			0.714286								
BF																									0.5		
PY																											0.5
BN																				0.4							
SY																					0.333333						
GH																										0.3	
ME												0.25															
LY																		0.25									
ZW																									0.2		
BW																									0.2		
LK																									0.125		
