	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
KZ	11.76		25.60	8.44	27.97	57.47	73.13	120.26	165.59	86.83	240.97	253.64	61.33	122.81	61.82	18.55	95.23	69.63	80.69	164.57	82.20	116.33	89.17	76.45	109.99	120.71	208.73
UZ	16.87	70.80	67.80	40.73	123.77	141.97	160.53	94.55	77.05	98.93	135.97	96.76	112.21	93.81	101.74	187.01	125.12	138.83	41.39	44.26	37.93	90.14	51.78	58.70	95.47	73.68	46.83
UY	7.71	37.68	22.73	70.19	83.42	55.60	22.20	45.86	74.36	85.02	101.63	159.48	159.64	152.24	169.89	127.83	82.21	176.47	131.07	106.50	91.46	164.06	102.36	132.21	98.06	50.76	181.60
BD	38.10	14.27	18.84	24.63	21.54	56.33	53.86	35.78	44.69	89.73	45.15	84.09	69.67	51.03	51.56	78.56	133.15	52.91	122.13	85.62	100.28	57.80	117.90	107.75	155.47	219.28	197.75
MD	70.89	37.49	32.89	35.94	39.37	52.72	39.57	54.18	75.02	88.11	101.95	83.70	107.55	80.83	66.34	115.30	57.40	123.73	103.33	22.05	60.04	83.65	56.09	113.11	147.49	155.24	83.72
AE	11.00	7.50	3.83	13.80	5.33	19.75	5.12	14.28	15.50	8.58	31.25	5.73	6.93	26.93	153.60	65.88	34.03	64.04	26.48	60.50	53.91	252.82	64.54	264.87	396.72	243.52	432.17
CU	62.51	77.57	156.90	54.21	77.04	56.62	24.81	74.91	81.17	72.10	111.52	65.86	89.94	32.02	48.95	59.79	120.38	73.92	92.72	121.85	31.87	37.79	39.87	122.16	47.73	107.13	28.35
CY		1.33	3.33	16.25	0.33	20.33	96.50	27.33	35.90	54.33	61.48	53.31	42.85	84.02	77.82	221.80	105.95	199.20	191.43	199.93	114.67	119.85	143.95	82.01	68.42	108.99	67.73
LB	2.38	13.50	1.33	8.93	15.67	38.58	47.00	10.00	22.75	7.07	16.86	4.33	127.98	53.75	127.73	103.13	72.71	78.59	123.93	60.76	148.11	119.98	118.08	117.87	56.61	48.15	41.34
CM	15.25	7.95	21.48	37.59	11.82	32.43	34.86	25.25	15.89	24.76	45.41	32.82	56.16	31.43	62.83	45.75	72.85	74.83	101.63	46.23	50.93	47.85	73.31	51.76	95.73	174.22	159.21
MO								0.17				0.40	0.33	3.20	7.14	8.94	15.50	5.65	126.28	67.83	191.92	119.23	220.33	125.30	175.30	261.89	275.13
IS	30.00	3.60	10.00	21.67	20.83	15.74	5.69	32.67	58.17	3.50	0.33	5.63	12.89	123.65	221.35	80.71	83.72	36.60	40.95	164.71	30.67	4.05	57.11	17.60	122.38	75.00	27.00
GE	9.25		9.14	14.00	44.80	58.07	23.00	13.00	47.44	73.00	55.73	56.88	73.12	82.91	27.87	73.94	43.71	10.42	14.20	29.06	11.29	23.33	37.68	8.37	10.59	29.74	15.68
OM	0.44		12.10	22.18	8.19	0.67	25.60	18.13	14.10	20.60	14.12	13.00	8.53	3.17	30.05	22.23	17.89	26.92	80.83	60.57	84.80	45.32	127.24	111.02	195.67	186.23	164.51
ID	15.24	35.16	23.99	8.20	36.88	6.82	27.05	17.92	51.87	37.61	28.90	10.97	12.90	29.41	29.94	29.18	24.69	24.26	46.15	38.29	36.27	105.04	82.21	57.71	90.58	149.15	134.89
PS	3.38	17.25	0.80	21.50	3.50	8.00	16.75	50.00	23.33	131.70	13.77	34.67	55.59	76.50	19.00	71.17	37.82	40.83	55.39	41.63	40.85	26.96	38.04	25.02	56.42	31.96	32.70
QA	3.13	29.07	32.58	15.33	7.77	9.00		7.00	11.50	2.00	2.00	24.65	22.93	8.75	29.37	21.83	54.48	38.82	81.67	57.41	81.56	47.00	24.30	24.15	35.13	78.96	21.35
TJ	55.00		8.00	32.00	23.60	1.00	0.75	11.00	80.14	15.22	8.00	17.00	46.00	0.60	26.20	14.50		15.13	6.67	6.00	37.69	5.54	6.32	8.42	34.45	20.00	
