compo	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022		
CClHHgNNaOPS																													
AgCFHOSTe							1											2											
CHISSiSn	1																												
CClHMnNSSi							1																						
AuCClFFeHNOSb																						1							
CFeHRhTe							1																						
CFHNPPtSTl																		1	1			1							
AlCCaEuFLiOSi																													
CCaCuO		6				4		1						1															
CGeHOVW																			3										
CClHOPtSn																5													
BrCDyGaH													1																
CClHMnNSSn												1																	
CCuFHPRuS										3																			
CHfInTi							1				1																		
AlCHNaOSi		1		11	6	4	1		1	2	2	1	1				1			2		1					1		
CFeORuSTe					1																								
CHIOPtSe											1																		
CClCoCuHNNiOS																	1												
CClHPbRuSi																						1							
AuBCFHPRu																													
CClCoHLiNOSi															1	4			2				1						
AgCClHNOSZn																										1			
BCHNOsRu															1														
CCoHMoNaOP																													
AlCCuHNOPSi																											3		
BCHMnMoNO										1				8											3				
BCHHfIr																						1							
CClGeHHgSe																													
AsCNORe																								1					
AsCCrHMnO																													
CCoHMoNaOS		2																											
AlCSc													1																
BrCHNaOYb		2																											
CClCuHLiSi																													
CFNiO						2																							
CClCrFGeHNOPS																													
BCClCuFHMoNOP															1														
CFNiP											1																		
CFHNNaNiO										1													2						
BaCFH																													
AlCSi			8	6	7						4	1									3								
CCoErHNO			1					1		2	2				2		1	1	1	1	2	1	1						
AgAsCHNOSn																													
CFNiS																		2			1								
CClCuHLiSn																													
BrCClFHN																													
BrCClFHO																													
CHINOPRe	1				5	2	2		1	1	2				1			11	4	2		2		1	3		15		
AsBrCHIrO													1																
CHINOPRh	2		2	12	8	10	1	2	2	2	3	12	1	6	1	6		16	17	5			5		2		1		
CHORuZr										1																			
AsBrCHIrP																													
CClGeHHf							3																						
CClHLiMgSi																													
BCClFHINPRhS														1															
CClGeHHg																													
AsBCFHIr	1																												
CCuOSe						2																							
BaCCaOSr																1													
CHINPtS	2			7	14	5	1	4	5		5							1	1	4	4	1	7	5	11	1			
AuBCClHNOTeW																								4					
CCuOSi								1																					
BBrCHIMoNO																													
CCsGaH			2																										
CClFORhSb					1																								
AsCClHNOOsS	2																												
CCrFeGeHNO																								1					
CHOPRbTh																										1			
CHINOPRu	4		2	3	3		1	6	7	1	5	1	2			1		3	2	1	6	1	4	1	1	2	2		
BCHLiNNaPSi		1																											
CHOPRbTi																													
CLaNNa													1																
CCuOSr	2		1																										
AuBCClHOPRe								1																					
CFHIrNPPd																						3							
CCsHNOTa												1																	
CCsHNOTb						1								1				1											
AuBCClHOPRh											2																		
CIIrO	3		4		1		1											1											
AgAuBCClFHNOP														1				3				2							
CHNRbZn									1																				
CClHIPPdS		1		1												2	1	1											
CLaNNi															3														
CClCrHMoNW														3															
CCsHNOTi																							1						
BCCuHNSSi																											2		
BBrCClHNRe						4																					1		
CFeINO														1															
CHKOSeW			1																										
BCReSc					1																								
AuCClCuFHOP											1							1	3										
BCCoHI	1		1				1	10	2		1					5		1	1	9		1				1			
CCsHNOTm						1																							
BBrCClHNRh																								2					
AuCClFeHNOPRe															1	1													
BCCoHK																				2			1						
BBrCHMoOP								1																					
BCFHKNO					2	4				3				2				1	1			3	5	3			1		
AuBCClHOPRu																										1			
CFHIrNPPt																	5	1		3				2					
BCCoHIrOSe										1																			
CHIKNPt																	1												
BCCoHN	16	45	3	9	6	19	60	32	9	8	6	4	2	21	3	15	21	1	5	36	5	10	16	4	26	21	4		
BCCoHO	7	1	4		1	1	7	6	3	8	4		3	6	9	12	7	1	11	3	5	1	1						
CFeTaY					1																								
AuBrCHINOS																									1				
CFHMnNNiOP								1																					
BCCoHP	3	1			2	1	1	1		1	9					7	7	1		3	2			1	1	8	2		
CCeFHLiN																			1										
CCdHPTe							1																						
BCFHNOPZn														1	4	3	8	3	1	4		6					2		
AsCCdClHHgOS			1																										
BCFHKNV																										1			
CClEuHOPS																			1										
CFHMnNNiOS												2																	
BCCoHS	2	7		3		1	2	1	4	5	5	8	2		2			7	3	3		4	1		10	3			
BCFFeHHgN																													
BCFFeHHgO								4																					
AlCHNNdO											1														2	2			
CClFHNOPTb																	1								1				
BCFHNOPZr									1		1					2		1		3		2			4				
BBrCClHNRu											1					5	1		9						1				
CClFHNOPTc							1				1							1						3		2			
BCCoHY																													
CFeKOTe																													
CClCrHPPdSe																													
CHPtRh		1																											
CClFHNOPTi																	1												
BCFHKMnO																											1		
CCoHNOPReTi											1																		
CClFHIOTi																								3					
CClFHIOTl																													
CKMo									2																				
BCClFHRe			1																										
CHNOTlW																													
AuBCFFeHNOP																									1		8		
BCClFHRh								1											1							1			
CClFHIPPtS													1																
CCoHORhRu																													
AuBCHKN																							3						
BrCRbZr			1																										
BCClHNOPdRhS																				2									
AgCClHIrNaOS																							2						
CGdH	1			2		1	2				2		1				4		2					1		1	1		
CGdI															1														
BCCeNiY		3																											
BrCCdHSe																													
CHHoNNaOZn																										1			
AlBrCCrHO																													
AuBCFHPSb																				2		1		1	1				
CClHOPtTe	1	11						2		3											3								
AgAsCFHNO										4	2	2					1												
CGdN											1	1																	
AuCFHPRh																										1			
BrCCuHNNaO			2		3			1														1		1	1				
CGdO		2									32		3									1							
BCCoHo				1																									
AuBCFHNPPtS						1																							
CCeLaNSi																1													
CFHNOSSbV													1																
CFHNOSSbW																								1					
AuBCFHPSi																1				2									
CHNNiOYb	2		1					1		1		2	1		1	1				3		1		2	2	1	4		
BCClFHRu	2					1							2							1				1					
CClCoHIrNO																					4		2		1	1			
CClGeHNNiO																								2					
CClGeHNNiP																						1		2	1	2			
CGdW			1																										
AuBCFHPSn																		1											
BCClCoFFeHNOS																		1				2							
CCrCuFHO																1													
BCHINPdTe			1																										
CClCoHIrNS			2																										
AlCHNaOTi																													
AuCNO						1									3														
BrCHIMnN																								1					
AuCFHPRu																	2									1			
CHIOPtTe											1																		
AuCNS							1		2	1	1			3	1				1						1				
CHINOPSV													1																
CHINOPSW			1																										
AuCFHLiO																			4										
AlAsCClHOSi								1																					
