	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022
KZ	11.76		9.60	8.44	25.97	55.47	62.80	98.86	100.59	65.83	129.97	58.14	49.21	56.14	54.57	17.15	84.03	65.63	79.69	160.57	70.06	97.58	85.17	75.24	93.92	114.91	203.15
BD	38.10	12.13	18.84	20.13	16.08	36.58	24.44	32.11	40.24	89.73	40.07	71.93	45.42	46.55	43.56	59.89	87.97	47.91	101.73	79.28	95.25	48.39	111.39	105.72	135.24	202.97	178.56
AE	8.00	5.50	3.83	9.80	5.33	17.25	4.87	10.28	15.25	5.58	29.25	3.73	6.93	26.93	148.77	57.66	28.97	54.90	22.00	52.12	53.91	252.72	58.87	256.13	392.90	239.68	426.27
CU	59.85	68.50	147.73	44.67	64.81	45.48	16.84	63.76	76.92	59.27	97.82	61.63	77.49	30.02	44.72	54.33	119.35	72.39	89.26	120.77	31.80	37.12	37.86	119.41	47.73	106.99	27.05
CY		1.33	3.33	16.25	0.33	18.08	31.92	27.33	12.67	22.00	61.48	53.31	42.28	68.02	77.49	221.80	105.95	199.20	190.65	199.93	108.34	114.11	135.30	81.21	66.35	102.99	65.00
CM	15.25	7.95	21.48	37.59	11.48	32.43	32.86	25.25	15.89	24.76	45.41	31.93	55.02	30.72	62.83	45.75	72.85	74.83	101.63	46.23	50.93	47.85	69.45	51.76	94.30	173.67	158.33
LB	2.38	13.50	1.33	8.33	11.33	11.83	15.00	9.00	22.50	4.12	16.86	1.25	120.23	51.20	124.23	101.15	63.21	78.59	123.93	60.76	147.68	119.73	111.33	111.99	50.15	43.02	34.18
MO								0.17				0.40	0.33	3.20	7.14	8.94	15.50	5.65	123.12	64.20	190.98	118.30	216.77	123.03	174.69	256.01	269.52
GE	9.25		5.14	3.00	31.80	57.40	21.80	10.00	40.44	56.44	54.73	56.88	72.12	81.91	26.44	73.94	38.71	10.42	14.20	29.06	11.17	23.33	37.68	8.37	9.99	29.74	15.68
OM	0.44		12.10	20.18	6.59	0.67	20.71	14.80	10.43	7.60	8.17	13.00	3.48	0.33	30.05	21.94	17.89	19.32	80.83	57.50	79.99	41.90	127.10	111.02	192.58	176.01	160.80
ID	5.26	35.16	23.19	8.20	33.88	6.22	24.62	16.23	48.04	36.08	26.30	10.84	11.90	27.76	29.94	24.55	23.69	21.06	45.50	35.02	29.18	90.75	82.21	52.71	78.46	129.52	123.10
IS	29.00	3.60	5.00	18.67	18.33	14.00	5.69	32.33	43.00	0.50		5.63	4.69	91.65	114.63	78.33	71.40	35.60	35.24	75.71	22.67	4.05	39.86	17.60	120.63	74.83	27.00
PS	3.38	17.25	0.80	21.50	3.50	8.00	16.50	50.00	23.33	131.70	13.77	34.67	55.59	75.75	19.00	71.17	37.42	40.83	54.23	41.36	40.85	25.62	38.04	24.82	56.42	31.96	32.20
